P³eæ,Wiek,S.C.,EE,Student,Dochod,CzasGry,gatunekGry,Wydatki
M,18-25 lat,kawaler/pan,Szkola Srednia,Student,3000,4,FPS,400
M,18-25 lat,kawaler/pan,Szkola Srednia,Student,5000,5,FPS,500
M,18-25 lat,kawaler/pan,Szkola Srednia,Student,2500,2,MOBA,50
M,18-25 lat,kawaler/pan,Studia I stopnia,Pracujacy,1000,20,,500
M,25-40 lat,w zwiazku malzenskim,Szkola Srednia,Pracujacy,2000,5,MOBA,100
K,mniej ni¿ 18 lat,kawaler/pan,Szkola Podstawowa,Student,0,0,SPORTOWE,0
K,mniej ni¿ 18 lat,zareczony/zareczo,Szkola Podstawowa,Pracujacy,1000,10,SPORTOWE,100
K,wiecej niz 40 lat,kawaler/pan,Studia doktoranckie,Student,3000,20,BATTLE ROYAL,2000
K,mniej ni¿ 18 lat,kawaler/pan,Szkola Srednia,Student,3000,1,RPG,100
M,mniej ni¿ 18 lat,zareczony/zareczo,Studia doktoranckie,Pracujacy,505,24,MOBA,20000
M,mniej ni¿ 18 lat,kawaler/pan,Szkola Podstawowa,Student,0,2,RPG,200
K,mniej ni¿ 18 lat,kawaler/pan,Szkola Srednia,Student,2,4,RPG,107
M,mniej ni¿ 18 lat,kawaler/pan,Szkola Podstawowa,Student,0,7,MOBA,1000
M,18-25 lat,w zwiazku malzenskim,Studia doktoranckie,Pracujacy,505,25,MOBA,50000
M,25-40 lat,zareczony/zareczo,Studia I stopnia,Pracujacy,3000,20,MMORPG,1000
M,18-25 lat,kawaler/pan,Szkola Srednia,Pracujacy,3000,50,MOBA,500
M,18-25 lat,kawaler/pan,Szkola Srednia,Pracujacy,4000,8,RPG,500
K,18-25 lat,kawaler/pan,Szkola Srednia,Student,3000,8,RPG,250
M,mniej ni¿ 18 lat,kawaler/pan,Szkola Podstawowa,Student,3000,14,FPS,200
M,18-25 lat,kawaler/pan,Szkola Srednia,Student,2000,40,MOBA,500
M,mniej ni¿ 18 lat,kawaler/pan,Szkola Srednia,Student,150,10,STRATEGIE,700
M,18-25 lat,kawaler/pan,Szkola Srednia,Pracujacy;Student,3000,14,MOBA,300
M,18-25 lat,kawaler/pan,Szkola Srednia,Student,3000,10,MMORPG,20
M,18-25 lat,kawaler/pan,Studia I stopnia,Pracujacy;Student,3000,20,SPORTOWE,500
M,18-25 lat,kawaler/pan,Szkola Srednia,Pracujacy;Student,1550,80,MOBA,2000
M,mniej ni¿ 18 lat,kawaler/pan,Szkola Podstawowa,Student,4000,20,MOBA,700
M,25-40 lat,kawaler/pan,Szkola Srednia,Pracujacy,4150,30,MOBA,1000
K,18-25 lat,kawaler/pan,Szkola Srednia,Pracujacy;Student,2300,15,MOBA,500
M,18-25 lat,kawaler/pan,Studia I stopnia,Pracujacy,4500,20,RPG,500
M,mniej ni¿ 18 lat,kawaler/pan,Szkola Srednia,Student,2000,12,MOBA,50
M,18-25 lat,kawaler/pan,Szkola Srednia,Student,3800,12,MOBA,200
K,18-25 lat,kawaler/pan,Szkola Srednia,Student,3500,7,RPG,50
M,25-40 lat,w zwiazku malzenskim,Szkola Srednia,Pracujacy,2000,8,MMORPG,1000
M,18-25 lat,kawaler/pan,Szkola Srednia,Pracujacy;Student,3000,40,BATTLE ROYAL,750
M,mniej ni¿ 18 lat,kawaler/pan,Szkola Podstawowa,Student,3000,40,MOBA,150
M,18-25 lat,kawaler/pan,Studia I stopnia,Pracujacy;Student,2200,20,MMORPG,1200
M,25-40 lat,kawaler/pan,Studia I stopnia,Pracujacy,4500,5,MOBA,500
K,18-25 lat,zareczony/zareczo,Studia magisterskie,Pracujacy,1500,25,Gry AAA,600
M,25-40 lat,kawaler/pan,Szkola Srednia,Pracujacy,2000,14,MMORPG,1000
M,25-40 lat,zareczony/zareczo,Studia I stopnia,Pracujacy,4000,21,MMORPG,1000
K,25-40 lat,w zwiazku malzenskim,Szkola Srednia,Pracujacy,3000,20,MMORPG,300
M,25-40 lat,w zwiazku malzenskim,Szkola Srednia,Pracujacy,3000,30,RPG,500
M,mniej ni¿ 18 lat,kawaler/pan,Szkola Podstawowa,Student,3000,48,MOBA,500
M,18-25 lat,kawaler/pan,Szkola Srednia,Student,3000,40,MOBA,200
M,18-25 lat,kawaler/pan,Szkola Srednia,Pracujacy,5000,21,RPG,1000
K,25-40 lat,kawaler/pan,Szkola Srednia,Pracujacy;Student,3000,10,MMORPG,1000
M,18-25 lat,kawaler/pan,Szkola Srednia,Student,3000,60,RPG,1200
K,25-40 lat,zareczony/zareczo,Szkola Srednia,Pracujacy,3000,30,MMORPG,1000
M,18-25 lat,zareczony/zareczo,Szkola Srednia,Student,3500,35,MMORPG,300
M,25-40 lat,w zwiazku malzenskim,Studia I stopnia,Pracujacy;Student,3000,20,MMORPG,1000
M,25-40 lat,w zwiazku malzenskim,Studia magisterskie,Pracujacy,5000,7,RPG,1500
M,18-25 lat,kawaler/pan,Szkola Srednia,Student,5000,2,RPG,800
M,18-25 lat,kawaler/pan,Szkola Podstawowa,Student,3500,50,MMORPG,500
M,18-25 lat,kawaler/pan,Szkola Srednia,Pracujacy,4000,35,MOBA,20003000
M,25-40 lat,kawaler/pan,Szkola Srednia,Pracujacy,3500,15,MMORPG,700
M,25-40 lat,kawaler/pan,Szkola Srednia,Pracujacy,3000,12,MMORPG,2000
K,25-40 lat,w zwiazku malzenskim,Studia I stopnia,Pracujacy;Student,6000,30,MMORPG,400
M,18-25 lat,kawaler/pan,Szkola Srednia,Pracujacy;Student,2000,30,MOBA,200
M,25-40 lat,kawaler/pan,Szkola Srednia,Pracujacy,4700,40,MMORPG,1500
K,18-25 lat,kawaler/pan,Szkola Srednia,Pracujacy;Student,0.17,25,MMORPG,1200
M,25-40 lat,zareczony/zareczo,Studia I stopnia,Pracujacy,2000,30,MMORPG,100
M,mniej ni¿ 18 lat,kawaler/pan,Szkola Srednia,Student,3300,98,RPG,600
K,25-40 lat,zareczony/zareczo,Studia magisterskie,Pracujacy,3500,20,RPG,2000
M,18-25 lat,kawaler/pan,Szkola Srednia,Pracujacy;Student,3000,5,MOBA,500
K,25-40 lat,w zwiazku malzenskim,Studia magisterskie,Pracujacy,4000,21,MMORPG,1500
M,18-25 lat,kawaler/pan,Szkola Srednia,Pracujacy,3000,40,MMORPG,1000
M,25-40 lat,zareczony/zareczo,Szkola Srednia,Pracujacy,2000,10,MMORPG,1000
M,18-25 lat,kawaler/pan,Szkola Srednia,Student,3000,40,MOBA,1000
